Araç Durumu,Ağır Hasar Kayıtlı,Cep Telefonu,Garanti,KM,Kasa Tipi,Kimden,Link,Marka,Model,Motor Gücü,Motor Hacmi,Plaka / Uyruk,Renk,Seri,Takas,Vites,Yakıt Tipi,Yıl,Çekiş,İlan No,İlan Tarihi
İkinci El,Hayır,Bulunamadı veya gizli,Hayır,189.000,Sedan,Galeriden,https://www.sahibinden.com/ilan/vasita-otomobil-renault-bur-car-s-emsalsz-2p-boyali-msj-kltk-serit-tkp-full-tramersz-1256389776/detay,Renault,1.5 dCi Icon,110 hp,1461 cc,Türkiye (TR) Plakalı,Beyaz,Megane,Evet,Otomatik,Dizel,2017,Önden Çekiş,1256389776,03 Temmuz 2025
İkinci El,Hayır,Bulunamadı veya gizli,Hayır,86.000,Sedan,Galeriden,https://www.sahibinden.com/ilan/vasita-otomobil-audi-aytekin-auto-dan-hatasiz-boyasiz-2022-a3-1252151622/detay,Audi,A3 Sedan 35 TFSI Advanced,150 hp,1498 cc,Türkiye (TR) Plakalı,Siyah,A3,Evet,Otomatik,Hibrit,2022,Önden Çekiş,1252151622,02 Temmuz 2025
İkinci El,Hayır,Bulunamadı veya gizli,Hayır,213.402,Sedan,Galeriden,https://www.sahibinden.com/ilan/vasita-otomobil-audi-tugrul-motors-tan-hatasiz-boyasiz-audi-a3-1256347885/detay,Audi,A3 Sedan 1.6 TDI Design Line,116 hp,1598 cc,Türkiye (TR) Plakalı,Füme,A3,Evet,Otomatik,Dizel,2018,Önden Çekiş,1256347885,03 Temmuz 2025
İkinci El,Hayır,Bulunamadı veya gizli,Hayır,150.000,Hatchback 5 kapı,Sahibinden,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-hatasiz-boyasiz-tramersiz-isik-paket-1244212730/detay,BMW,116i Joy Edition,136 hp,1598 cc,Türkiye (TR) Plakalı,Kırmızı,1 Serisi,Hayır,Otomatik,Benzinli,2015,Arkadan İtiş,1244212730,03 Temmuz 2025
İkinci El,Hayır,Bulunamadı veya gizli,Hayır,260.000,Sedan,Sahibinden,https://www.sahibinden.com/ilan/vasita-otomobil-mercedes-benz-acil-ihtiyactan-satilik-safkan-benzin-1256404212/detay,Mercedes-Benz,190 E 2.0,126 - 150 HP,2001 - 2500 cm3,Türkiye (TR) Plakalı,Şampanya,190,Evet,Manuel,Benzinli,1988,Arkadan İtiş,1256404212,03 Temmuz 2025
İkinci El,Hayır,Bulunamadı veya gizli,Hayır,317.000,Station Wagon,Sahibinden,https://www.sahibinden.com/ilan/vasita-otomobil-renault-kupon-arac-degisensiz-2016-clio-sporturer-touch-paket-ekstrali-1252852513/detay,Renault,1.5 dCi SportTourer Touch,75 hp,1461 cc,Türkiye (TR) Plakalı,Beyaz,Clio,Evet,Manuel,Dizel,2016,Önden Çekiş,1252852513,03 Temmuz 2025
İkinci El,Hayır,Bulunamadı veya gizli,Hayır,202.000,Sedan,Sahibinden,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sahibinden-temiz-140bg-lik-jetta-1256401463/detay,Volkswagen,1.4 TSI Comfortline,140 hp,1390 cc,Türkiye (TR) Plakalı,Gri,Jetta,Hayır,Manuel,Benzinli,2007,Önden Çekiş,1256401463,03 Temmuz 2025
İkinci El,Hayır,Bulunamadı veya gizli,Hayır,132.000,Hatchback 5 kapı,Sahibinden,https://www.sahibinden.com/ilan/vasita-otomobil-renault-132.000-de-agir-bakimlari-yeni-masrafsiz-clio-4-1256362004/detay,Renault,1.5 dCi Joy,75 hp,1461 cc,Türkiye (TR) Plakalı,Beyaz,Clio,Hayır,Manuel,Dizel,2013,Önden Çekiş,1256362004,03 Temmuz 2025
İkinci El,Hayır,Bulunamadı veya gizli,Hayır,129.000,Sedan,Galeriden,https://www.sahibinden.com/ilan/vasita-otomobil-renault-4-boya-2018-model-anahtarsiz-giris-degisensiz-129.000-km-1210652163/detay,Renault,1.5 dCi Touch,110 hp,1461 cc,Türkiye (TR) Plakalı,Füme,Megane,Hayır,Otomatik,Dizel,2018,Önden Çekiş,1210652163,03 Temmuz 2025
İkinci El,Hayır,Bulunamadı veya gizli,Hayır,115.000,Sedan,Galeriden,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-varan-auto-dan-yetkili-servis-bakimli-tertemiz-passat-115.000-km-1252882973/detay,Volkswagen,1.5 TSI Elegance,150 hp,1498 cc,Türkiye (TR) Plakalı,Siyah,Passat,Hayır,Otomatik,Benzinli,2021,Önden Çekiş,1252882973,03 Temmuz 2025
